,date_utc,daily_count
477,2012-08-17 00:00:00+00:00,3
478,2012-08-18 00:00:00+00:00,0
479,2012-08-19 00:00:00+00:00,0
480,2012-08-20 00:00:00+00:00,15
481,2012-08-21 00:00:00+00:00,7
482,2012-08-22 00:00:00+00:00,11
483,2012-08-23 00:00:00+00:00,6
484,2012-08-24 00:00:00+00:00,3
485,2012-08-25 00:00:00+00:00,0
486,2012-08-26 00:00:00+00:00,0
487,2012-08-27 00:00:00+00:00,0
488,2012-08-28 00:00:00+00:00,7
489,2012-08-29 00:00:00+00:00,5
490,2012-08-30 00:00:00+00:00,1
491,2012-08-31 00:00:00+00:00,1
492,2012-09-01 00:00:00+00:00,0
493,2012-09-02 00:00:00+00:00,0
494,2012-09-03 00:00:00+00:00,0
495,2012-09-04 00:00:00+00:00,1
496,2012-09-05 00:00:00+00:00,5
497,2012-09-06 00:00:00+00:00,5
498,2012-09-07 00:00:00+00:00,2
499,2012-09-08 00:00:00+00:00,0
500,2012-09-09 00:00:00+00:00,0
501,2012-09-10 00:00:00+00:00,3
502,2012-09-11 00:00:00+00:00,5
503,2012-09-12 00:00:00+00:00,1
504,2012-09-13 00:00:00+00:00,4
505,2012-09-14 00:00:00+00:00,5
506,2012-09-15 00:00:00+00:00,0
507,2012-09-16 00:00:00+00:00,0
508,2012-09-17 00:00:00+00:00,3
509,2012-09-18 00:00:00+00:00,8
510,2012-09-19 00:00:00+00:00,3
511,2012-09-20 00:00:00+00:00,7
512,2012-09-21 00:00:00+00:00,30
513,2012-09-22 00:00:00+00:00,0
514,2012-09-23 00:00:00+00:00,0
515,2012-09-24 00:00:00+00:00,12
516,2012-09-25 00:00:00+00:00,4
517,2012-09-26 00:00:00+00:00,3
518,2012-09-27 00:00:00+00:00,8
519,2012-09-28 00:00:00+00:00,2
520,2012-09-29 00:00:00+00:00,0
521,2012-09-30 00:00:00+00:00,0
522,2012-10-01 00:00:00+00:00,6
523,2012-10-02 00:00:00+00:00,8
524,2012-10-03 00:00:00+00:00,2
525,2012-10-04 00:00:00+00:00,6
526,2012-10-05 00:00:00+00:00,10
527,2012-10-06 00:00:00+00:00,0
528,2012-10-07 00:00:00+00:00,0
529,2012-10-08 00:00:00+00:00,10
530,2012-10-09 00:00:00+00:00,8
531,2012-10-10 00:00:00+00:00,3
532,2012-10-11 00:00:00+00:00,8
533,2012-10-12 00:00:00+00:00,4
534,2012-10-13 00:00:00+00:00,0
535,2012-10-14 00:00:00+00:00,1
536,2012-10-15 00:00:00+00:00,10
537,2012-10-16 00:00:00+00:00,5
538,2012-10-17 00:00:00+00:00,4
539,2012-10-18 00:00:00+00:00,2
540,2012-10-19 00:00:00+00:00,3
541,2012-10-20 00:00:00+00:00,0
542,2012-10-21 00:00:00+00:00,0
543,2012-10-22 00:00:00+00:00,6
544,2012-10-23 00:00:00+00:00,15
545,2012-10-24 00:00:00+00:00,11
546,2012-10-25 00:00:00+00:00,2
547,2012-10-26 00:00:00+00:00,6
548,2012-10-27 00:00:00+00:00,0
549,2012-10-28 00:00:00+00:00,0
550,2012-10-29 00:00:00+00:00,3
551,2012-10-30 00:00:00+00:00,3
552,2012-10-31 00:00:00+00:00,8
553,2012-11-01 00:00:00+00:00,5
554,2012-11-02 00:00:00+00:00,3
555,2012-11-03 00:00:00+00:00,0
556,2012-11-04 00:00:00+00:00,2
557,2012-11-05 00:00:00+00:00,5
558,2012-11-06 00:00:00+00:00,4
559,2012-11-07 00:00:00+00:00,3
560,2012-11-08 00:00:00+00:00,3
561,2012-11-09 00:00:00+00:00,2
562,2012-11-10 00:00:00+00:00,0
563,2012-11-11 00:00:00+00:00,0
564,2012-11-12 00:00:00+00:00,10
565,2012-11-13 00:00:00+00:00,7
566,2012-11-14 00:00:00+00:00,6
567,2012-11-15 00:00:00+00:00,4
568,2012-11-16 00:00:00+00:00,6
569,2012-11-17 00:00:00+00:00,0
570,2012-11-18 00:00:00+00:00,0
571,2012-11-19 00:00:00+00:00,7
572,2012-11-20 00:00:00+00:00,3
573,2012-11-21 00:00:00+00:00,8
574,2012-11-22 00:00:00+00:00,0
575,2012-11-23 00:00:00+00:00,3
576,2012-11-24 00:00:00+00:00,0
577,2012-11-25 00:00:00+00:00,0
578,2012-11-26 00:00:00+00:00,4
579,2012-11-27 00:00:00+00:00,5
580,2012-11-28 00:00:00+00:00,7
581,2012-11-29 00:00:00+00:00,4
582,2012-11-30 00:00:00+00:00,4
583,2012-12-01 00:00:00+00:00,0
584,2012-12-02 00:00:00+00:00,0
585,2012-12-03 00:00:00+00:00,6
586,2012-12-04 00:00:00+00:00,4
587,2012-12-05 00:00:00+00:00,5
588,2012-12-06 00:00:00+00:00,8
589,2012-12-07 00:00:00+00:00,8
590,2012-12-08 00:00:00+00:00,0
591,2012-12-09 00:00:00+00:00,0
592,2012-12-10 00:00:00+00:00,9
593,2012-12-11 00:00:00+00:00,2
594,2012-12-12 00:00:00+00:00,1
595,2012-12-13 00:00:00+00:00,6
596,2012-12-14 00:00:00+00:00,5
597,2012-12-15 00:00:00+00:00,1
598,2012-12-16 00:00:00+00:00,0
599,2012-12-17 00:00:00+00:00,1
600,2012-12-18 00:00:00+00:00,4
601,2012-12-19 00:00:00+00:00,6
602,2012-12-20 00:00:00+00:00,4
603,2012-12-21 00:00:00+00:00,9
604,2012-12-22 00:00:00+00:00,0
605,2012-12-23 00:00:00+00:00,0
606,2012-12-24 00:00:00+00:00,11
607,2012-12-25 00:00:00+00:00,0
608,2012-12-26 00:00:00+00:00,8
609,2012-12-27 00:00:00+00:00,5
610,2012-12-28 00:00:00+00:00,1
611,2012-12-29 00:00:00+00:00,0
612,2012-12-30 00:00:00+00:00,0
613,2012-12-31 00:00:00+00:00,6
614,2013-01-01 00:00:00+00:00,6
615,2013-01-02 00:00:00+00:00,3
616,2013-01-03 00:00:00+00:00,3
617,2013-01-04 00:00:00+00:00,7
618,2013-01-05 00:00:00+00:00,0
619,2013-01-06 00:00:00+00:00,2
620,2013-01-07 00:00:00+00:00,4
621,2013-01-08 00:00:00+00:00,3
622,2013-01-09 00:00:00+00:00,3
623,2013-01-10 00:00:00+00:00,1
624,2013-01-11 00:00:00+00:00,5
625,2013-01-12 00:00:00+00:00,0
626,2013-01-13 00:00:00+00:00,0
627,2013-01-14 00:00:00+00:00,4
628,2013-01-15 00:00:00+00:00,6
629,2013-01-16 00:00:00+00:00,5
630,2013-01-17 00:00:00+00:00,9
631,2013-01-18 00:00:00+00:00,4
632,2013-01-19 00:00:00+00:00,0
633,2013-01-20 00:00:00+00:00,2
634,2013-01-21 00:00:00+00:00,0
635,2013-01-22 00:00:00+00:00,8
636,2013-01-23 00:00:00+00:00,3
637,2013-01-24 00:00:00+00:00,3
